DishTitle,Ingredients,Instructions,Published,Rating,Reviews
Smoked Salmon Breakfast Salad with Crispbread,"2 baby beets or radishes, thinly sliced,8 thin slices red onion (optional),6 cups mesclun,2 tablespoons fresh lemon juice,2 tablespoons olive oil,1 tablespoon chopped capers,Kosher salt and freshly ground black pepper,3 ounces smoked salmon or gravlax,¾ cup Neufchâtel or cream cheese,4 Wasa crispbread or toasted pumpernickel slices,1 lemon, cut into wedges","Toss beets, onion (if using), mesclun, lemon juice, oil, and capers in a large bowl; season with salt and pepper. Add salmon and gently toss to combine.,Mound salad alongside crispbread spread with Neufchâtel and serve with lemon wedges for squeezing over.",January 2015,4.5,
Trout Roe and Turnip Toast,"Dark rye bread,Cream cheese,Trout roe,Baby white turnips or radishes,Chives","Spread toasted dark rye bread with cream cheese. Layer on trout roe, thinly sliced baby white turnips or radishes, and chopped chives.",January 2015,3,
"Beets with Goat Cheese, Nigella Seeds, and Pistachios","2 tablespoons chopped raw pistachios,¼ cup plus 1 Tbsp. white wine vinegar,¾ teaspoon hot smoked Spanish paprika, divided,Kosher salt,1 pound beets, scrubbed, peeled, cut into ½” pieces,4 oz. fresh goat cheese, crumbled, divided,Freshly ground black pepper,1 teaspoon nigella seeds,Flaky sea salt (such as Maldon),Olive oil (for serving),Nigella seeds are available at Indian markets or online.","Toast pistachios in a dry small skillet over medium-high heat, stirring often, until golden brown, about 5 minutes; let cool.,Combine ¼ cup vinegar, ½ tsp. paprika, and a pinch of kosher salt in a large saucepan and add water so mixture comes 1” up sides of pan. Fit with a steamer basket and bring liquid to a simmer over medium. Add beets, cover pan, and steam until tender, 30–40 minutes. Transfer to a large bowl and let cool slightly.,While beets are still warm, add 2 oz. goat cheese, remaining 1 Tbsp. vinegar, and remaining ¼ tsp. paprika; season with kosher salt and pepper. Coarsely smash beets with a fork or potato masher, leaving some bigger pieces.,Serve topped with nigella seeds, pistachios, sea salt, and remaining goat cheese and drizzled with oil.",January 2015,3.3,
Sazerac,"1 sugar cube,2 dashes Angostura bitters,2 dashes Peychaud’s bitters,1 ounce rye whiskey,1 ounce VSOP Cognac,1 teaspoon absinthe,3 star anise pods","Place sugar cube in a mixing glass. Add Angostura and Peychaud’s bitters, then whiskey and VSOP Cognac. Muddle until sugar dissolves. Fill glass with ice and stir until very cold, about 30 seconds.,Rinse a brandy snifter with absinthe; discard. Strain cocktail through a Hawthorne strainer or a slotted spoon into snifter. Garnish with star anise pods.",October 2015,5,
Daiquiri,"1 bar spoon (or 1 teaspoon) superfine sugar,1¾ ounces white rum,¾ ounce fresh lime juice,½ ounce simple syrup,1 lime","Combine sugar, rum, lime juice, and simple syrup in a cocktail shaker; stir until sugar dissolves, about 20 seconds. Fill shaker with ice, cover, and shake vigorously until outside of shaker is very cold, about 20 seconds. Place a large ice cube in a coupe glass; strain cocktail through a Hawthorne strainer or a slotted spoon into glass.,Using a small serrated knife, remove a 1"" strip of peel from lime (some white pith is okay); it should be stiff enough to provide some resistance when bent. Twist over drink to express oils; discard. Garnish with a lime twist.",October 2015,,What is the purpose of using both sugar and simple syrup?  
Baked Pasta with Merguez and Harissa-Spiked Sauce,"1 teaspoon caraway seeds,1 teaspoon cumin seeds,1 tablespoon olive oil,12 ounces merguez sausage,1 medium onion, chopped,4 garlic cloves, thinly sliced,1 28-ounce can whole peeled tomatoes,1 tablespoon harissa paste,Kosher salt, freshly ground pepper,8 ounces lumaconi or other medium shells,3 ounces feta, crumbled (about ½ cup),A spice mill or a mortar and pestle","Preheat oven to 400°. Grind caraway and cumin in a spice mill or with a mortar and pestle; set aside.,Heat oil in a large skillet over medium. Cook sausage until browned all over but still pink in the center, about 3 minutes per side. Transfer to a cutting board and let cool slightly. Slice into 1"" pieces.,Add onion to same skillet and cook, stirring often, until soft, 6–8 minutes. Add garlic and reserved spices. Cook, stirring, until fragrant, about 2 minutes. Add tomatoes, crushing, and juices, then harissa. Cook until sauce thickens slightly, 6–8 minutes. Season with salt and pepper.,Meanwhile, cook pasta in a large pot of boiling salted water until very al dente (about 3 minutes less than package directions; it will be firm in the center). Drain, reserving ¼ cup cooking liquid.,Add sausage, pasta, and cooking liquid to skillet; toss to coat. Transfer to a 3-qt. baking dish, top with feta, and bake until top is browned and juices are bubbling, 18–22 minutes.",October 2015,4,
Israeli-Style Hummus,"1 cup dried chickpeas,2 teaspoons baking soda, divided,4 garlic cloves, unpeeled,⅓ cup (or more) fresh lemon juice,1 teaspoon kosher salt, plus more,⅔ cup tahini,¼ teaspoon (or more) ground cumin,Olive oil (for serving)","Place chickpeas and 1 tsp. baking soda in a medium bowl and add cold water to cover by 2"". Cover and let sit at room temperature until chickpeas have doubled in size, 8–12 hours. Drain and rinse.,Combine soaked chickpeas and remaining 1 tsp. baking soda in a large saucepan and add cold water to cover by at least 2"". Bring to a boil, skimming surface as needed. Reduce heat to medium-low, partially cover, and simmer until chickpeas are tender and completely falling apart, 45–60 minutes. Drain; set aside.,Meanwhile, process garlic, lemon juice, and 1 tsp. salt in a food processor until coarsely puréed; let sit 10 minutes to allow garlic to mellow.,Strain garlic mixture through a fine-mesh sieve into a small bowl, pressing on solids to release as much liquid as possible. Return liquid to food processor; discard solids. Add tahini and pulse to combine. With motor running, add ¼ cup ice water by the tablespoonful and process (it may seize up at first) until mixture is very smooth, pale, and thick. Add chickpeas and cumin and process, occasionally scraping down sides, until mixture is extremely smooth, about 4 minutes. Thin with more water if you prefer a looser consistency; taste and season with salt, more lemon juice, and more cumin as desired.,Spoon hummus into a shallow bowl, making a well in the center, and drizzle liberally with oil. Top as desired.,Hot smoked Spanish paprika, fresh lemon juice, and chopped parsley,Fried chickpeas, hot smoked Spanish paprika, and chopped parsley,Breakfast radishes, fresh lemon juice, and chopped fennel fronds,Beet-Pickled-Egg,, Israeli mango pickle, fried garlic, and sliced garlic scapes,Tahini, ,Lemony Chermoula,, cooked chickpeas, and chopped parsley",September 2015,3.45,"Best hummus I have ever made! Way better than store bought, I will never go back. I agree with the other comment that the way the garlic is prepared ensures it is not overpowering. Easy to make your own with different toppings, though I usually just enjoy it as is. Lasts for about a week in the fridge.,This is my go to hummus dish! I've brought it to parties and served it at home and it never fails to impress! I feel super proud when I say its homemade. ,Great recipe! Very healthy! Very smooth with great flavor!
,My earlier review had his restaurant misspelled.  It's Shaya, not Zia.  Need to focus on one thing at a time.  ,Absolutely love this recipe.  Love Michael Solomonov's book too.  We've been going to New Orleans for Jazz Fest every year for the past who knows how long, and for as long as Michael's restaurant, Zia, has been open, we've been going there for the hummus.  Lots of other great food there but hell, why waste space in my stomach on anything other than his hummus with bread that's fresh out of the oven.  I can tell you that he must be doing something different at the restaurant because I can never replicate the taste.  Maybe it's like drinking wine at a vineyard.  It's never the same at home.  Cheers,This recipe beats any of the finest restaurant versions I have ever had! It was the first time I made hummus from scratch and I think it’s fair to say, it may only be the only one I can have ever again! I used the best of each of the  ingredients; Meyer lemons, Soom tahini, and either Brightland or Wonder Valley olive oil. I also slightly increased the amount of cumin. For the topping I added za’atar! ,I am really disappointed in Bon Appetit allowing a political remark as a review.  Please see Anonymous date 8/31/19.  Please remove this comment as it is offensive.  Political remarks are not a place where the sharing of food brings understanding of other cultures and situations, not denegration.  ,This lovely recipe replaced Ottolenghi's version as my go to. I've made it ""as is"" at least a dozen times to rave reviews, but of course recipes like this one are endlessly adaptable. I roast a whole onion and whole head of garlic for an hour at 300F and then add those to the mix but that may be gilding the lily. I'm grateful to reviewers who mentioned that the baking soda detracts from nutrition. I omitted it and the result was only slightly less silky and still delicious.,Divine!  We don't often have hummus as the grocery store stuff is often pretty bad.  No more, this will be a staple.   Spend the money on a very high quality EVOO..  Thank you BA, excellent as always.
,I usually really like bon appetit, but I’m very disappointed by this recipe. Please try and do just a little bit of basic historical research next time. Maybe instead of giving attention to the perpetrators of violence you should do it the other way around. If you want a legitimate recipe, find a Palestinian, of which there are less and less every day. ,Made this last night and it is the best hummus I have ever made! I simmered a put of canned chickpeas for a while with the baking soda and it really does make a difference. I also love how the garlic is strained -- my boyfriend does not like garlic that much, but this step made it bearable for him! ,I have tried for YEARS to make hummus I liked as much as good restaurant hummus—to no avail.  THIS recipe did it! AMAZING!!! Thank you!!!,I love this recipe! It’s creamy, delicious and so intensely satisfying. ,I love this recipe.  Instead of olive oil on top, I reserved some chickpeas which I mixed with olive oil and za'tar and used it to  top the hummus.  ,This is a great hummus recipe and so much cheaper than buying hummus from the store. I make this recipe with a can of chickpeas versus using dried chickpeas.,This is the best homemade hummus I've ever made. Don't hold back on the olive oil when serving. It really makes the dip perfectly creamy. And cooking the chickpeas aggressively is major. "
Matcha Doughnuts,"¼ cup granulated sugar,1¾ teaspoons baking powder,¾ teaspoon kosher salt,2 cups cake flour, plus more for surface,1 large egg,½ cup buttermilk,2 tablespoons unsalted butter, melted,Vegetable oil (for frying; about 4 cups),Matcha Sugar Topping, Sweet Matcha Powder, or Matcha Glaze (for serving),One 3¼-inch-diameter cutter, one 1¼-inch-diameter cutter, a deep-fry thermometer","Whisk granulated sugar, baking powder, salt, and 2 cups flour in a large bowl. Make a well in the center and add egg, buttermilk, and butter. Using a wooden spoon or a spatula, gradually incorporate dry ingredients until a shaggy dough forms. Turn out onto a lightly floured surface and knead a couple of times or so until no wet spots remain (be careful not to overwork or doughnuts will be tough).,Roll out dough to ¼"" thick, sprinkling surface and/or dough with flour as needed to prevent sticking. Punch out as many rounds as you can with 3¼"" cutter, then use 1¼"" cutter to punch out center of each round. Gather doughnut holes and scraps and re-roll; repeat process until all dough has been used (3–4 times; you should have 8 doughnuts).,Fit a medium saucepan with thermometer. Pour in oil to come 4"" up sides of saucepan and heat over medium until thermometer registers 325°. Working in batches, fry doughnuts until deep golden brown, about 3 minutes per side. Transfer to a wire rack lined with paper towels and let cool slightly.,Toss still-warm doughnuts in Matcha Sugar Topping or Sweet Matcha Powder or dip in Matcha Glaze.,Whisk 1 cup granulated sugar and 1 Tbsp. matcha in a small bowl until no lumps remain.,Whisk 1 cup powdered sugar and 1 Tbsp. matcha until no lumps remain.,Whisk 1 large egg white, 2 cups powdered sugar, 2 tsp. matcha, a pinch of salt, and 1 Tbsp. water in a small bowl until smooth.",September 2015,4.8,
Dry-Rubbed Flank Steak with Grilled Corn Salsa,"2 tablespoons light brown sugar,1 tablespoon ancho chile powder,1 tablespoon paprika,2 teaspoons kosher salt,2 teaspoons freshly ground black pepper,1 teaspoon cayenne pepper,1 teaspoon granulated garlic,1 teaspoon English mustard powder,½ teaspoon ground coriander,½ teaspoon ground cumin,2 tablespoons olive oil, plus more for grill,3 ears of corn, shucked,¼ red onion, finely chopped,1 jalapeño, seeds removed, finely chopped,1 pint cherry tomatoes, halved,1 cup fresh cilantro, coarsely chopped,⅓ cup fresh lime juice,Kosher salt, freshly ground pepper,1½ pounds flank steak","Combine brown sugar, chile powder, paprika, salt, pepper, cayenne, granulated garlic, mustard powder, coriander, and cumin in a small bowl.,Prepare a grill for medium-high heat; oil grate. Grill corn, turning occasionally, until lightly browned all over, 8–10 minutes; let cool. Cut kernels from cobs and place in a medium bowl. Add onion, jalapeño, tomatoes, cilantro, and lime juice to corn and toss to combine; season with salt and pepper. Set salsa aside.,Meanwhile, coat steak with all of dry rub, packing on more than once if needed, and drizzle with 2 Tbsp. oil to help rub adhere. Grill steak, turning occasionally and moving to a cooler spot on grill as needed to control flare-ups, until nicely browned and an instant-read thermometer inserted into the thickest part registers 130°, about 4 minutes per side for medium-rare. Transfer to a cutting board and let rest 10 minutes.,Return steak to grill just to recrisp exterior, about 1 minute per side. Transfer back to cutting board and slice against the grain. Serve topped with salsa.,Do Ahead:, Salsa can be made 1 day ahead. Cover and chill.",September 2015,3.74,"This was excellent. Loved all the flavors together.  The rub was a little spicy for the family so I cut the cayenne in half. Made the corn salsa the night before.  Weather necessitated a change from the grill to the pan, but still turned out phenomenal.  Added  diced avocado, a squeeze of lime juice,  and just a sprinkle of kosher salt when serving.  Already planning on making this again this week. ,The rub was phenomenal. We added a bit extra lime juice to the salsa and some sliced avocado on top.  We also used the rub on some chicken for a person that didn't eat red meat and it tasted great on that too.,This is the BEST steak rub out there.  The addition of the grilled corn, multi-colored tomatoes, paired with the lime and cilantro on top are outstanding.  It is my family's favorite meal and I have picky children.  "
Rack-Roasted Chicken,"1½ pounds small fingerling potatoes,1 pound small shallots, peeled,2 tablespoons olive oil,Kosher salt, freshly ground pepper,1 Dai Due's Master Brined Chicken","Place racks in upper and lower thirds of oven; preheat to 425°. Arrange potatoes and shallots in a roasting pan or baking dish just large enough to fit them all in a single crowded layer. Drizzle with oil and season with a little salt and pepper, then toss to coat. Place pan on lower rack, then set chicken, breast side up and tail facing oven door (this will make it easier to remove when it’s done), directly on rack above vegetables. Roast chicken and vegetables until a thermometer inserted into the thickest part of chicken thigh registers 165°, 35–45 minutes.,Insert a long-handled wooden spoon into the chicken’s cavity and carefully tilt the bird toward you to allow juices in cavity to drain into pan below. Remove vegetables from oven, then, using spoon, remove chicken from oven and place on top of vegetables. Let rest 10 minutes before carving.",September 2015,2.9,
