DishTitle,Ingredient
One-Pot Gingery Chicken and Rice With Peanut Sauce,"6 small skin-on, bone-in chicken thighs (about 3 lb.)"
One-Pot Gingery Chicken and Rice With Peanut Sauce,"¾ tsp. kosher salt, plus more"
One-Pot Gingery Chicken and Rice With Peanut Sauce,"2 large shallots, finely chopped"
One-Pot Gingery Chicken and Rice With Peanut Sauce,"8 garlic cloves, finely chopped"
One-Pot Gingery Chicken and Rice With Peanut Sauce,"1 2"" piece ginger, peeled, finely chopped"
One-Pot Gingery Chicken and Rice With Peanut Sauce,"2 cups high-quality basmati rice, rinsed"
One-Pot Gingery Chicken and Rice With Peanut Sauce,2 whole star anise
One-Pot Gingery Chicken and Rice With Peanut Sauce,1 Tbsp. soy sauce
One-Pot Gingery Chicken and Rice With Peanut Sauce,½ cup creamy peanut butter
One-Pot Gingery Chicken and Rice With Peanut Sauce,2 Tbsp. soy sauce
One-Pot Gingery Chicken and Rice With Peanut Sauce,2 Tbsp. unseasoned rice vinegar
One-Pot Gingery Chicken and Rice With Peanut Sauce,5 tsp. Sriracha
One-Pot Gingery Chicken and Rice With Peanut Sauce,"1 1"" piece ginger, peeled, finely chopped"
One-Pot Gingery Chicken and Rice With Peanut Sauce,1½ tsp. honey
One-Pot Gingery Chicken and Rice With Peanut Sauce,"1 English hothouse cucumber, halved lengthwise, thinly sliced on a diagonal"
One-Pot Gingery Chicken and Rice With Peanut Sauce,1 cup cilantro leaves with tender stems
Pasta al Limone,1 lemon
Pasta al Limone,12 oz. spaghetti or other long pasta
Pasta al Limone,Kosher salt
Pasta al Limone,¾ cup heavy cream
Pasta al Limone,6 Tbsp. unsalted butter
Pasta al Limone,3 oz. finely grated Parmesan (about ¾ cup)
Pasta al Limone,Freshly ground black pepper
White Beans with Broccoli Rabe and Lemon,3 tablespoons olive oil
White Beans with Broccoli Rabe and Lemon,"1 small lemon, very thinly sliced, seeds removed"
White Beans with Broccoli Rabe and Lemon,2 anchovy fillets packed in oil
White Beans with Broccoli Rabe and Lemon,"4 garlic cloves, thinly sliced"
White Beans with Broccoli Rabe and Lemon,"½ bunch broccoli rabe, chopped"
White Beans with Broccoli Rabe and Lemon,Kosher salt and freshly ground black pepper
White Beans with Broccoli Rabe and Lemon,"2 15-oz. cans cannellini (white kidney) beans, rinsed"
White Beans with Broccoli Rabe and Lemon,¼ cup fresh flat-leaf parsley leaves
White Beans with Broccoli Rabe and Lemon,"2 tablespoons finely grated Parmesan, plus more for serving"
White Beans with Broccoli Rabe and Lemon,Crushed red pepper flakes (optional)
Broiled Salmon with Scallions and Sesame,"2 garlic cloves, thinly sliced"
Broiled Salmon with Scallions and Sesame,3 tablespoons fresh lime juice
Broiled Salmon with Scallions and Sesame,2 tablespoons soy sauce
